method,n,proposal,case,event,units,four_event_total_mse,count,signed_bias,pooled_residual_population_variance,mse,mae,max_absolute,mean_within_unit_prompt_repeat_sample_variance,signed_q50,signed_q90,signed_q95,signed_q99,absolute_q50,absolute_q90,absolute_q95,absolute_q99
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTITY_HASH_SELECTED,X,12,2.2238065152317936e-08,172800,2.219441054908357e-07,9.57364814017848e-10,9.574140732038101e-10,1.606642119398895e-05,0.0003200388859917955,9.573735714162947e-10,0.0,2.7513601109741683e-05,4.890053246627621e-05,0.00010097999077315983,4.527975245018235e-06,4.846263889153018e-05,7.111182327396925e-05,0.00012381098068222672
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTITY_HASH_SELECTED,S,12,2.2238065152317936e-08,172800,-3.904918154334947e-07,5.351630428770437e-09,5.351782912628358e-09,4.068442017984041e-05,0.0005983844609259315,5.349286934257905e-09,0.0,7.355751948885225e-05,0.00012189730304905276,0.0002231559442334724,1.3724458593860877e-05,0.00012313589462949136,0.00016961616005662833,0.0002693621012660718
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTITY_HASH_SELECTED,W,12,2.2238065152317936e-08,172800,1.8958937800981874e-07,5.833599831137173e-09,5.833635775269426e-09,4.5493773119617336e-05,0.0006696155241353715,5.833937865302741e-09,0.0,8.602919687608407e-05,0.0001322737281368892,0.00022565748445386118,2.0000363260480505e-05,0.00013240439930521604,0.00017427231293746135,0.0002607357269290637
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTITY_HASH_SELECTED,I,12,2.2238065152317936e-08,172800,-2.1041668068750608e-08,1.0095231948464545e-08,1.0095232391216341e-08,6.001193732657597e-05,0.0007893560966514639,1.0097538618805585e-08,0.0,0.00011398390087192729,0.00017468896654745854,0.00029153665030763685,2.645142708119049e-05,0.00017472599166255405,0.00022927027466756032,0.0003412415859995603
CROSSFIT_COV_ZERO_SUM,1024,origin,IDENTITY_HASH_SELECTED,delta_v,12,2.2238065152317936e-08,172800,2.1041668068750608e-08,1.0095231948464545e-08,1.0095232391216341e-08,6.001193732657597e-05,0.0007893560966514639,1.0097538618805585e-08,-0.0,0.00011288393228584506,0.000174735307854484,0.0002981868892628854,2.645142708119049e-05,0.00017472599166255405,0.00022927027466756032,0.0003412415859995603
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTITY_HASH_SELECTED,X,12,5.569242049746336e-09,172800,1.1479632757438886e-07,2.338980599446571e-10,2.339112381414817e-10,7.950659860515804e-06,0.0001566796196143189,2.339762145548013e-10,0.0,1.3757996613290121e-05,2.4325318183672767e-05,5.005126025533304e-05,2.2467051723505714e-06,2.403409396000623e-05,3.4964402394088095e-05,6.104180286308439e-05
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTITY_HASH_SELECTED,S,12,5.569242049746336e-09,172800,-6.564579510145721e-08,1.2964420427494411e-09,1.2964463521198557e-09,2.013075066359085e-05,0.00032620273722754533,1.296219413204375e-09,0.0,3.645368337145981e-05,6.043284138273523e-05,0.00011155004696443974,6.887001334024434e-06,6.08753924031264e-05,8.378822865184619e-05,0.0001320047235799567
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTITY_HASH_SELECTED,W,12,5.569242049746336e-09,172800,3.006240344907289e-08,1.4964004234490064e-09,1.4964013271971076e-09,2.303990278159457e-05,0.0002807073294449937,1.4969358636343993e-09,0.0,4.337727850572794e-05,6.706392496512838e-05,0.0001143693137401412,1.0132880604571837e-05,6.692489646966449e-05,8.848945577958458e-05,0.00013205071958982773
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTITY_HASH_SELECTED,I,12,5.569242049746336e-09,172800,-7.921293592353251e-08,2.5424768575986738e-09,2.5424831322878916e-09,3.0083287094946398e-05,0.00036591338981714497,2.5418171804335825e-09,0.0,5.696157222328314e-05,8.693354932554163e-05,0.0001477402790791468,1.326815528524813e-05,8.744237666144942e-05,0.00011523206980192301,0.000172594195803268
