method,rank_cap,alpha,n,fit_budget,representation,input_mode,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,306,0.00048448820918272614,0.00048448820918272603,0.00048448820918272587,0.000484488209182726,0.0,0.8427854938271605,0.0270913482426235,0.6839455770260818,0.19902358127356842,72,0.0011430173360573994,0.0011430173360573999,0.0011430173360573992,0.0011430173360573999,0.0019031622335733734,0.00016431002447163623,0.0010261046102232572,robust,1
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,306,0.0007309180887627258,0.0007309180887627258,0.0007309180887627259,0.0007309180887627258,0.0,0.8427854938271605,0.042803633557947696,0.6839455770260818,0.2501667266623665,72,0.0014367388208474216,0.0014367388208474216,0.0014367388208474216,0.0014367388208474216,0.002531253838770198,0.0008312929841874689,0.003213494600789618,robust,1
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,306,0.03137978171514234,0.03137978171514234,0.003573231450888475,0.003573231450888475,0.0,0.8427854938271605,3.4197278851304094,3.4197278851304094,1.0,360,0.04196512575485164,0.04196512575485164,0.0057431251550350785,0.0057431251550350785,0.08480630579304327,0.002579541161805954,0.005840825267896442,robust,5
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,306,0.03137978171514234,0.03137978171514234,0.003573231450888475,0.003573231450888475,0.0,0.8427854938271605,3.4197278851304094,3.4197278851304094,1.0,360,0.04196512575485164,0.04196512575485164,0.0057431251550350785,0.0057431251550350785,0.08480630579304327,0.002579541161805954,0.005840825267896442,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,306,0.012243693950830237,0.012240731751497822,0.03241214250881864,0.032409648313823806,0.0049382716049382715,0.8427854938271605,193.4969984355416,3.4197278851304094,7.522138775164216,360,0.01648706910901699,0.016484052851275525,0.043200584419310364,0.04319940580047898,0.03374562472973791,0.02447646465111584,0.018651416354885365,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,306,0.019120865904517042,0.019074108318336554,0.020425896848563482,0.02039522044483051,0.03132716049382716,0.8427854938271605,98.02843561415247,3.4197278851304094,5.3540233530119785,360,0.028299232354216337,0.028207613750305855,0.03074882619932835,0.03072783002676,0.05391446075529068,0.018577527388357207,0.014391132324390113,robust,5
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,306,0.06205223916002635,0.06205223916002635,0.003573231450888475,0.003573231450888475,0.0,0.8427854938271605,3.4197278851304094,3.4197278851304094,1.0,360,0.08350172352217779,0.08350172352217779,0.0057431251550350785,0.0057431251550350785,0.17018368593878305,0.002579541161805954,0.005840825267896442,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,306,0.024701933038402228,0.024637383962932663,0.06480971514406754,0.0647585499585413,0.03526234567901235,0.8427854938271605,785.412990588968,3.4197278851304094,15.154906637325455,360,0.03353098809669085,0.03344816149152998,0.08703652553103189,0.08700948346664537,0.06873366556529957,0.04241434429899723,0.04302837548268015,robust,5
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,306,0.06205223916002635,0.06205223916002635,0.003573231450888475,0.003573231450888475,0.0,0.8427854938271605,3.4197278851304094,3.4197278851304094,1.0,360,0.08350172352217779,0.08350172352217779,0.0057431251550350785,0.0057431251550350785,0.17018368593878305,0.002579541161805954,0.005840825267896442,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,306,0.04148142914098722,0.04085302569206364,0.03727880673848203,0.03677195412454393,0.15308641975308643,0.8427854938271605,354.7859904333087,3.4197278851304094,10.185619686101157,360,0.0616618399785762,0.06069408273574004,0.05849728863886806,0.05813771377362951,0.11678753760222967,0.03751609977510848,0.028465260301678192,robust,5
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,306,0.016105674667039438,0.016105674667039438,0.003573231450888475,0.003573231450888475,0.0,0.8427854938271605,3.4197278851304094,3.4197278851304094,1.0,360,0.021591792926516057,0.021591792926516057,0.0057431251550350785,0.0057431251550350785,0.043349777714597054,0.002579541161805954,0.005840825267896442,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,306,0.0061052194737898,0.00610521676128673,0.016241923500276093,0.016241920787773024,3.8580246913580246e-05,0.8427854938271605,47.919117366840446,3.4197278851304094,3.743334442158352,360,0.008223232044249563,0.008223229950843932,0.021498438198468833,0.021498436739939574,0.016652717324884377,0.010500741107560392,0.011681815351298325,robust,5
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,306,0.016105674667039438,0.016105674667039438,0.003573231450888475,0.003573231450888475,0.0,0.8427854938271605,3.4197278851304094,3.4197278851304094,1.0,360,0.021591792926516057,0.021591792926516057,0.0057431251550350785,0.0057431251550350785,0.043349777714597054,0.002579541161805954,0.005840825267896442,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,8,per_prompt,actual_d,306,0.008687261315918175,0.00868673124749529,0.011520560993714346,0.011520464843562828,0.001388888888888889,0.8427854938271605,29.105186922622334,3.4197278851304094,2.9173559527851833,360,0.012553632321206014,0.012552757949098986,0.016754740358631913,0.016754705431880006,0.024380852547115254,0.009594522828328232,0.009621137785894521,robust,5
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,307,0.0034269909240176814,0.003426990924017682,0.0034269909240176814,0.003426990924017682,0.0,0.8595679012345678,0.5276304282510934,0.5276304282510934,1.0,72,0.005044317619986532,0.005044317619986531,0.005044317619986532,0.005044317619986531,0.008758279840832571,0.002183354517425513,0.006060699424068498,robust,1
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,307,0.0034269909240176814,0.003426990924017682,0.0034269909240176814,0.003426990924017682,0.0,0.8595679012345678,0.5276304282510934,0.5276304282510934,1.0,72,0.005044317619986532,0.005044317619986531,0.005044317619986532,0.005044317619986531,0.008758279840832571,0.002183354517425513,0.006060699424068498,robust,1
