seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
304,X_BASE,8,16,0,0,22,6.175297509822791e-05,0.002882675342695199,0.0,0.0029287794090945276,0.04270305817515513,0.04258539596620689,-2.313320702906907e-05
304,X_BASE,8,64,0,0,22,6.175297509822791e-05,0.002882675342695199,0.0,0.0029287794090945276,0.04270305817515513,0.04258539596620689,-2.313320702906907e-05
304,X_BASE,8,256,0,0,22,6.175297509822791e-05,0.002882675342695199,0.0,0.0029287794090945276,0.04270305817515513,0.04258539596620689,-2.313320702906907e-05
304,X_BASE,24,exact,0,0,15,0.00012844562947933095,0.007218123935464399,0.0,0.00731507121311961,0.10708461835206312,0.10661617772346023,-0.0001606581541266916
304,X_BASE,24,16,0,0,15,0.00012844562947933095,0.007218123935464399,0.0,0.00731507121311961,0.10708461835206312,0.10661617772346023,-0.0001606581541266916
304,X_BASE,24,64,0,0,15,0.00012844562947933095,0.007218123935464399,0.0,0.00731507121311961,0.10708461835206312,0.10661617772346023,-0.0001606581541266916
304,X_BASE,24,256,0,0,15,0.00012844562947933095,0.007218123935464399,0.0,0.00731507121311961,0.10708461835206312,0.10661617772346023,-0.0001606581541266916
304,X_BASE,40,exact,0,0,13,0.00018648912409392662,0.010084741898559837,0.0,0.010001027757234469,0.1398756627135323,0.13567522836222676,-0.0034697653928446454
304,X_BASE,40,16,0,0,13,0.00018648912409392662,0.010084741898559837,0.0,0.010001027757234469,0.1398756627135323,0.13567522836222676,-0.0034697653928446454
304,X_BASE,40,64,0,0,13,0.00018648912409392662,0.010084741898559837,0.0,0.010001027757234469,0.1398756627135323,0.13567522836222676,-0.0034697653928446454
304,X_BASE,40,256,0,0,13,0.00018648912409392662,0.010084741898559837,0.0,0.010001027757234469,0.1398756627135323,0.13567522836222676,-0.0034697653928446454
304,X_VALID,8,exact,0,0,16,0.00012547186189311554,0.007068581119976958,0.0,0.006978739845614137,0.10517158666947263,0.10199084902336912,-0.0030025818710344987
304,X_VALID,8,16,0,0,16,0.00012547186189311554,0.007068581119976958,0.0,0.006978739845614137,0.10517158666947263,0.10199084902336912,-0.0030025818710344987
304,X_VALID,8,64,0,0,16,0.00012547186189311554,0.007068581119976958,0.0,0.006978739845614137,0.10517158666947263,0.10199084902336912,-0.0030025818710344987
304,X_VALID,8,256,0,0,16,0.00012547186189311554,0.007068581119976958,0.0,0.006978739845614137,0.10517158666947263,0.10199084902336912,-0.0030025818710344987
304,X_VALID,24,exact,0,0,10,6.905083722785196e-05,0.002287536142346422,0.0,0.0023491184301739527,0.03415556615379053,0.03404900647196183,-7.908258517818484e-05
304,X_VALID,24,16,0,0,10,6.905083722785196e-05,0.002287536142346422,0.0,0.0023491184301739527,0.03415556615379053,0.03404900647196183,-7.908258517818484e-05
