method,rank_cap,alpha,n,fit_budget,representation,input_mode,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B1_LOG_RIDGE,0,0.01,64,8,per_prompt,actual_d,0.03287522048746973,0.03268678136876035,0.009614382189839394,0.009467908929502129,0.1204025205761317,0.8600887345679012,107.3479164932085,16.644749931526384,2.539558213375468,2160,0.04364530623112317,0.04350415572009284,0.013136319125434861,0.013051589181647439,0.08818160493682294,0.006579140897776753,0.008357532120895598,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,64,8,per_prompt,actual_d,0.031563853866331607,0.031563853866331607,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,16.644749931526384,16.644749931526384,1.0,2160,0.04185700765005834,0.04185700765005834,0.00517267887628953,0.00517267887628953,0.08439180098742009,0.0024270577129933196,0.006394995810945838,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,64,8,per_prompt,actual_d,0.025462473277755464,0.02540068099951875,0.013655675191860929,0.013610450966704848,0.03800797325102881,0.8600887345679012,323.26619085579705,16.644749931526384,4.406984322398365,2160,0.03598206494534208,0.03586672230402918,0.02279591471260915,0.02273155471600336,0.07121982103985633,0.012223697580940355,0.009882573904226755,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,64,8,per_prompt,actual_d,0.013426467822942965,0.013418346634679132,0.029331681890542406,0.029324945839778075,0.006796553497942386,0.8600887345679012,1013.2771074847607,16.644749931526384,7.802350897824195,2160,0.018917540118945045,0.018904441965506565,0.04035905567457386,0.04035227727088109,0.03764311636776085,0.019440266773117356,0.01789937234591941,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,64,8,per_prompt,actual_d,0.01316989608899825,0.013157076533707979,0.03152891438265332,0.03151746273455765,0.007568158436213991,0.8600887345679012,1113.9250218030013,16.644749931526384,8.18067882229288,2160,0.018273056596245722,0.018240779181942134,0.042316024537783485,0.0423045323748216,0.03651058415150108,0.020510185075271768,0.018045458176390954,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,8,0.01,64,8,per_prompt,actual_d,0.013138432659864793,0.01312366389138191,0.03302114528696013,0.033007245755130074,0.008179012345679013,0.8600887345679012,1203.7100359917415,16.644749931526384,8.503981434153145,2160,0.01816283270368671,0.01812312281844099,0.04398836512880231,0.04397405184633849,0.03615765706684991,0.02159469995638422,0.018778088575847434,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,16,0.01,64,8,per_prompt,actual_d,0.013116176531204685,0.01310455148689247,0.03323931031286795,0.033228678775061464,0.007163065843621399,0.8600887345679012,1215.214227493082,16.644749931526384,8.544522257050208,2160,0.01796223248174326,0.017936056417038247,0.044198069787029344,0.04418893577477725,0.03599983443557267,0.02154434354362433,0.018277828153904035,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,FULL,0.01,64,8,per_prompt,actual_d,0.012938875330492372,0.01292728615791572,0.03321133914216827,0.03320074436497443,0.007163065843621399,0.8600887345679012,1212.38811429877,16.644749931526384,8.534580864631426,2160,0.017722451348307185,0.017695986282600006,0.044146646156463805,0.04413753791968996,0.03550613531764492,0.021325053078386193,0.018378924620355674,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,0,0.0,64,8,per_prompt,actual_d,0.031563853866331607,0.031563853866331607,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,16.644749931526384,16.644749931526384,1.0,2160,0.04185700765005834,0.04185700765005834,0.00517267887628953,0.00517267887628953,0.08439180098742009,0.0024270577129933196,0.006394995810945838,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,64,8,per_prompt,actual_d,0.009270622705575025,0.009270501682639374,0.03171769659151422,0.031717573514006434,0.0004758230452674897,0.8600887345679012,1108.8044529505157,16.644749931526384,8.161854404253825,2160,0.012414157964666387,0.012414049678235882,0.04221865186823442,0.04221855123170064,0.025013490561054213,0.021261885316042783,0.018193126049512925,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,64,8,per_prompt,actual_d,0.010121159304348442,0.010117007065503348,0.03211241497748335,0.03210862945564635,0.002372685185185185,0.8600887345679012,1133.910836820015,16.644749931526384,8.253740597850474,2160,0.013684735159285573,0.013673352816092476,0.04269394964087445,0.042690936939108165,0.027442476832742767,0.021087488231022314,0.018196342144770367,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,4,1e-05,64,8,per_prompt,actual_d,0.012962666808904554,0.012928672240856144,0.0336164595672234,0.03358367753294999,0.012930812757201647,0.8600887345679012,1243.3751010963451,16.644749931526384,8.642958859264919,2160,0.018055734562486322,0.017926107592053136,0.044707250719959096,0.04465656287191014,0.03603266828515031,0.02239245711330033,0.018500475780520054,primary,3,"[0, 1, 2]",180,10,MATCHES_B0_EXACTLY
